Wavelength(gantner);RoundedWavelength;Wavelength(std);Wavelength(Matching)
720,4;720,5;;720
720,81;721;;720
721,63;721,5;;721
722,04;722;;721
722,45;722,5;;722
722,86;723;;722
723,27;723,5;;722
724,09;724;;722
724,5;724,5;;724
724,91;725;;724
725,32;725,5;;725
726,14;726;;725
726,55;726,5;;726
726,96;727;;726
727,37;727,5;;727
727,78;728;;727
728,59;728,5;;728
729;729;;728
729,41;729,5;;728
729,82;730;;728
730,64;730,5;;730
731,05;731;;730
731,46;731,5;;731
731,87;732;;731
732,28;732,5;;732
733,1;733;;732
733,51;733,5;;733
733,92;734;;733
734,33;734,5;;734
735,15;735;;734
735,55;735,5;;734
735,96;736;;734
736,37;736,5;;736
736,78;737;;736
737,6;737,5;;737
738,01;738;;737
738,42;738,5;;738
738,83;739;;738
739,65;739,5;;739
740,05;740;;739
740,46;740,5;;740
740,87;741;;740
741,28;741,5;;740
742,1;742;;740
742,51;742,5;;742
742,92;743;;742
743,33;743,5;;743
744,14;744;;743
744,55;744,5;;744
744,96;745;;744
745,37;745,5;;745
745,78;746;;745
746,6;746,5;;746
747;747;;746
747,41;747,5;;746
747,82;748;;746
748,64;748,5;;748
749,05;749;;748
749,45;749,5;;749
749,86;750;;749
750,27;750,5;;750
751,09;751;;750
751,5;751,5;;751
751,91;752;;751
752,31;752,5;;752
753,13;753;;752
753,54;753,5;;752
753,95;754;;752
754,35;754,5;;754
754,76;755;;754
755,58;755,5;;755
755,99;756;;755
756,4;756,5;;756
756,8;757;;756
757,62;757,5;;757
758,03;758;;757
758,44;758,5;;758
758,84;759;;758
759,25;759,5;;759
760,07;760;;759
760,47;760,5;;759
760,88;761;;759
761,29;761,5;;761
762,11;762;;761
762,51;762,5;;762
762,92;763;;762
763,33;763,5;;763
764,14;764;;763
764,55;764,5;;764
764,96;765;;764
765,37;765,5;;765
765,77;766;;765
766,59;766,5;;765
767;767;;765
767,4;767,5;;767
767,81;768;;767
768,63;768,5;;768
769,03;769;;768
769,44;769,5;;769
769,85;770;;769
770,26;770,5;;770
771,07;771;;770
771,48;771,5;;771
771,88;772;;771
772,29;772,5;;771
773,11;773;;771
773,51;773,5;;773
773,92;774;;773
774,33;774,5;;774
775,14;775;;774
775,55;775,5;;775
775,95;776;;775
776,36;776,5;;776
776,77;777;;776
777,58;777,5;;777
777,99;778;;777
778,4;778,5;;777
778,8;779;;777
779,62;779,5;;779
780,02;780;;779
780,43;780,5;;780
780,84;781;;780
781,65;781,5;;781
782,06;782;;781
782,46;782,5;;782
782,87;783;;782
783,27;783,5;;783
784,09;784;;783
784,49;784,5;;783
784,9;785;;783
785,31;785,5;;785
786,12;786;;785
786,53;786,5;;786
786,93;787;;786
787,34;787,5;;787
788,15;788;;787
788,56;788,5;;788
788,96;789;;788
789,37;789,5;;789
789,77;790;;789
790,59;790,5;;789
790,99;791;;789
791,4;791,5;;791
791,8;792;;791
792,62;792,5;;792
793,02;793;;792
793,43;793,5;;793
793,83;794;;793
794,65;794,5;;794
795,05;795;;794
795,46;795,5;;795
795,86;796;;795
796,27;796,5;;795
797,08;797;;795
797,49;797,5;;797
797,89;798;;797
798,3;798,5;;798
799,11;799;;798
799,51;799,5;;799
799,92;800;;799
800,32;800,5;;800
801,13;801;;800
801,54;801,5;;801
801,94;802;;801
802,35;802,5;;801
802,76;803;;801
803,57;803,5;;803
803,97;804;;803
804,38;804,5;;804
804,78;805;;804
805,59;805,5;;805
806;806;;805
806,4;806,5;;806
806,81;807;;806
807,62;807,5;;807
808,02;808;;807
808,43;808,5;;807
808,83;809;;807
809,64;809,5;;809
810,04;810;;809
810,45;810,5;;810
810,85;811;;810
811,26;811,5;;811
812,07;812;;811
812,47;812,5;;812
812,88;813;;812
813,28;813,5;;813
814,09;814;;813
814,5;814,5;;814
814,9;815;;814
815,3;815,5;;814
816,11;816;;814
816,52;816,5;;816
816,92;817;;816
817,33;817,5;;817
818,13;818;;817
818,54;818,5;;818
818,94;819;;818
819,35;819,5;;819
819,75;820;;819
820,56;820,5;;820
820,96;821;;820
821,37;821,5;;820
821,77;822;;820
822,58;822,5;;822
822,98;823;;822
823,39;823,5;;823
823,79;824;;823
824,6;824,5;;824
825;825;;824
825,41;825,5;;825
825,81;826;;825
826,62;826,5;;826
827,02;827;;826
827,42;827,5;;826
827,83;828;;826
828,63;828,5;;828
829,04;829;;828
829,44;829,5;;829
829,84;830;;829
830,25;830,5;;830
831,05;831;;830
831,46;831,5;;831
831,86;832;;831
832,26;832,5;;832
833,07;833;;832
833,47;833,5;;832
833,88;834;;832
834,28;834,5;;834
835,09;835;;834
835,49;835,5;;835
835,89;836;;835
836,3;836,5;;836
837,1;837;;836
837,5;837,5;;837
837,91;838;;837
838,31;838,5;;838
839,12;839;;838
839,52;839,5;;838
839,92;840;;838
840,32;840,5;;840
841,13;841;;840
841,53;841,5;;841
841,93;842;;841
842,34;842,5;;842
843,14;843;;842
843,54;843,5;;843
843,95;844;;843
844,35;844,5;;844
844,75;845;;844
845,56;845,5;;844
845,96;846;;844
846,36;846,5;;846
846,76;847;;846
847,57;847,5;;847
847,97;848;;847
848,37;848,5;;848
848,77;849;;848
849,58;849,5;;849
849,98;850;;849
850,38;850,5;;850
850,78;851;;850
851,59;851,5;;850
851,99;852;;850
852,39;852,5;;852
852,79;853;;852
853,59;853,5;;853
854;854;;853
854,4;854,5;;854
854,8;855;;854
855,6;855,5;;855
856;856;;855
856,41;856,5;;856
856,81;857;;856
857,61;857,5;;856
858,01;858;;856
858,41;858,5;;858
858,81;859;;858
859,62;859,5;;859
860,02;860;;859
860,42;860,5;;860
860,82;861;;860
861,62;861,5;;861
862,02;862;;861
862,42;862,5;;862
862,83;863;;862
863,63;863,5;;862
864,03;864;;862
864,43;864,5;;864
864,83;865;;864
865,63;865,5;;865
866,03;866;;865
866,43;866,5;;866
866,83;867;;866
867,64;867,5;;867
868,04;868;;867
868,44;868,5;;868
868,84;869;;868
869,64;869,5;;868
870,04;870;;868
870,44;870,5;;870
870,84;871;;870
871,64;871,5;;871
872,04;872;;871
872,44;872,5;;872
872,84;873;;872
873,64;873,5;;873
874,04;874;;873
874,44;874,5;;874
874,84;875;;874
875,64;875,5;;874
876,04;876;;874
876,44;876,5;;876
876,84;877;;876
877,64;877,5;;877
878,04;878;;877
878,44;878,5;;878
878,84;879;;878
879,64;879,5;;879
880,04;880;;879
880,44;880,5;;880
880,84;881;;880
881,64;881,5;;880
882,04;882;;880
882,44;882,5;;882
882,84;883;;882
883,63;883,5;;883
884,03;884;;883
884,43;884,5;;884
884,83;885;;884
885,63;885,5;;885
886,03;886;;885
886,43;886,5;;886
886,83;887;;886
887,63;887,5;;886
888,02;888;;886
888,42;888,5;;888
888,82;889;;888
889,62;889,5;;889
890,02;890;;889
890,42;890,5;;890
890,82;891;;890
891,61;891,5;;891
892,01;892;;891
892,41;892,5;;892
892,81;893;;892
893,61;893,5;;892
894,01;894;;892
894,4;894,5;;894
894,8;895;;894
895,6;895,5;;895
896;896;;895
896,4;896,5;;896
896,79;897;;896
897,59;897,5;;897
897,99;898;;897
898,39;898,5;;898
